ID	size	sales_17	sales_18
1120169	1	1369	-1
1120170	1	2323	2022
1120171	1	21077	39067
1120172	1	3303	3123
1120173	1	893	2289
1120174	1	770	755
1120175	1	2569	-1
1120176	1	637	-1
1120177	1	2596	4666
1120178	1	1091	930
1120179	1	-1	535
1120180	1	5322	7090
1120181	1	1126	1238
1120182	1	33910	-1
1120183	1	526	3644
1120184	1	458	-1
1120185	1	-1	88
1120186	1	3549	5357
1120187	1	546	-1
1120188	1	-1	964
1120189	1	421	-1
1120190	1	5676	-1
1120191	1	6283	11200
1120192	1	3636	-1
1120193	1	983	904
1120194	1	18057	20059
1120195	1	1148	2296
1120196	1	436	1461
1120197	1	4136	3957
1120198	1	2424	1253
1120199	1	-1	-1
1120200	1	257	-1
1120201	1	33345	66584
1120202	1	-1	972
1120203	1	4306	6894
1120204	1	-1	739
1120205	1	2116	8474
1120206	1	1769	1298
1120207	1	-1	277
1120208	1	369	-1
1120209	1	10941	13480
1120210	1	654	-1
1120211	1	1992	1782
1120212	1	4191	-1
1120213	1	818	-1
1120214	1	5852	5383
1120215	1	1084	990
1120216	1	-1	-1
1120217	1	4545	-1
1120218	1	2742	-1
1120219	1	4310	1552
1120220	1	11819	17497
1120221	1	3709	-1
1120222	1	-1	235
1120223	1	904	-1
1120224	1	2681	2942
1120225	1	4752	2142
1120226	1	506	-1
1120227	1	2198	2012
1120228	1	2566	1288
1120229	1	249	1475
1120230	1	1207	994
1120231	1	6045	6534
1120232	1	4428	-1
1120233	1	366	878
1120234	1	412	-1
1120235	1	-1	2473
1120236	1	8038	-1
1120237	1	8431	-1
1120238	1	4500	-1
1120239	1	12157	18004
1120240	1	2374	2705
1120241	1	-1	4873
1120242	1	4784	6093
1120243	1	7776	3849
1120244	1	6896	18492
1120245	1	201	-1
1120246	1	780	349
1120247	1	104	662
1120248	1	2127	2406
1120249	1	82	-1
1120250	1	622	2026
1120251	1	2272	1535
1120252	1	2256	-1
1120253	1	1311	896
1120254	1	268	429
1120255	1	2200	5071
1120256	1	387	-1
1120257	1	1231	921
1120258	1	6225	7460
1120259	1	8787	8208
1120260	1	1852	-1
1120261	1	81	171
1120262	1	3502	5041
1120263	1	1667	5198
1120264	1	26531	25771
1120265	1	34520	35679
1120266	1	530	969
1120267	1	550	754
1120268	1	5236	5275
1120269	1	2640	4270
1120270	1	988	-1
1120271	1	5828	4117
1120272	1	41867	36484
1120273	1	1089	2868
1120274	1	2193	2288
1120275	1	4494	5642
1120276	1	3610	-1
1120277	1	8657	-1
1120278	1	39908	34627
1120279	1	1838	1567
1120280	1	113	1087
1120281	1	25740	22163
1120282	1	11940	14540
1120283	1	209	34
1120284	1	7885	-1
1120285	1	-1	-1
1120286	1	5368	3174
1120287	1	-1	686
1120288	1	7863	17315
1120289	1	25	380
1120290	1	800	-1
1120291	1	-1	61
1120292	1	1039	1114
1120293	1	4078	8010
1120294	1	326	1819
1120295	1	15689	120878
1120296	1	493	-1
1120297	1	3556	-1
1120298	1	6148	6947
1120299	1	-1	1839
1120300	1	1156	1860
1120301	1	119	211
1120302	1	40	-1
1120303	1	5307	11678
1120304	1	2765	6293
1120305	1	4999	7365
1120306	1	372	2190
1120307	1	13426	20043
1120308	1	14104	20124
1120309	1	3773	3368
1120310	1	3730	2836
1120311	1	6982	5902
1120312	1	5419	8083
1120313	1	331	-1
1120314	1	4805	6254
1120315	1	-1	-1
1120316	1	6248	9828
1120317	1	10364	18648
1120318	1	895	514
1120319	1	900	-1
1120320	1	8606	6619
1120321	1	108	-1
1120322	1	3488	5126
1120323	1	2165	4401
1120324	1	20526	17140
1120325	1	1052	2313
1120326	1	4951	3939
1120327	1	-1	5735
1120328	1	-1	-1
1120329	1	105	59
1120330	1	2878	2537
1120331	1	-1	4131
1120332	1	-1	954
1120333	1	382	-1
1120334	1	2905	3291
1120335	1	440	242
1120336	1	18822	21208
1120337	1	341	896
1120338	1	1606	2263
1120339	1	2001	-1
1120340	1	28388	22317
1120341	1	2337	4017
1120342	1	7486	12661
1120343	1	2555	3581
1120344	1	12575	20232
1120345	1	6212	9059
1120346	1	1207	-1
1120347	1	331	2736
1120348	1	1545	3975
1120349	1	1288	1077
1120350	1	791	1826
1120351	1	45	232
1120352	1	-1	-1
1120353	1	2049	3816
1120354	1	3306	7913
1120355	1	1642	1387
1120356	1	3028	2156
1120357	1	4	-1
1120358	1	2354	-1
1120359	1	2704	3123
1120360	1	-1	5
1120361	1	-1	144
1120362	1	1634	1756
1120363	1	-1	3231
1120364	1	-1	-1
1120365	1	881	9430
1120366	1	5613	6260
1120367	1	4397	3500
1120368	1	21306	23015
1120369	1	-1	1299
1120370	1	9450	-1
1120371	1	3029	-1
1120372	1	6942	14427
1120373	1	1504	499
1120374	1	109692	133704
1120375	1	1309	906
1120376	1	14617	31784
1120377	1	2335	-1
1120378	1	1190	-1
1120379	1	3440	3028
1120380	1	350	818
1120381	1	17398	18210
1120382	1	-1	630
1120383	1	1310	2152
1120384	1	2371	1397
1120385	1	12627	8739
1120386	1	668	-1
1120387	1	12216	3876
1120388	1	2968	3232
1120389	1	1527	4004
1120390	1	1307	3167
1120391	1	42	239
1120392	1	24037	18895
1120393	1	1767	3483
1120394	1	253	7165
1120395	1	2187	3900
1120396	1	521	492
1120397	1	930	1346
1120398	1	310	-1
1120399	1	-1	3312
1120400	1	1223	2364
1120401	1	3763	-1
1120402	1	16259	11565
1120403	1	362	772
1120404	1	3233	15449
1120405	1	8624	6888
1120406	1	7023	8325
1120407	1	-1	1927
1120408	1	1117	709
1120409	1	10079	-1
1120410	1	1937	3901
1120411	1	-1	2474
1120412	1	3016	2694
1120413	1	2906	8114
1120414	1	14106	15196
1120415	1	5208	3246
1120416	1	-1	820
1120417	1	4472	7494
1120418	1	911	861
1120419	1	467	2612
1120420	1	1638	1392
1120421	1	5934	10468
1120422	1	-1	1162
1120423	1	951	-1
1120424	1	6327	-1
1120425	1	2846	-1
1120426	1	-1	400
1120427	1	199	1333
1120428	1	2265	4302
1120429	1	749	2458
1120430	1	-1	-1
1120431	1	1270	2150
1120432	1	25973	35371
1120433	1	1483	1862
1120434	1	-1	9
1120435	1	2921	4690
1120436	1	-1	16185
1120437	1	3142	8308
1120438	1	9493	13309
1120439	1	17020	33136
1120440	1	204	-1
1120441	1	136	481
1120442	1	3374	2405
1120443	1	124	552
1120444	1	1740	2793
1120445	1	43	367
1120446	1	454	1311
1120447	1	1261	2221
1120448	1	992	387
1120449	1	951	827
1120450	1	1678	1819
1120451	1	587	-1
1120452	1	1224	4404
1120453	1	2007	2768
1120454	1	241	505
1120455	1	-1	-1
1120456	1	3275	3565
1120457	1	391	1181
1120458	1	-1	-1
1120459	1	1399	-1
1120460	1	56	-1
1120461	1	1665	2497
1120462	1	-1	13242
1120463	1	1374	4170
1120464	1	602	1342
1120465	1	1048	421
1120466	1	3744	-1
1120467	1	8477	7795
1120468	1	2053	1083
1120469	1	3349	-1
1120470	1	1823	5156
1120471	1	13545	20658
1120472	1	1507	1533
1120473	1	1613	3430
1120474	1	56	148
1120475	1	546	-1
1120476	1	10111	2604
1120477	1	1510	1145
1120478	1	4699	5215
1120479	1	856	-1
1120480	1	1837	544
1120481	1	28	449
1120482	1	211	717
1120483	1	-1	-1
1120484	1	6885	5914
1120485	1	2121	1730
1120486	1	2080	3080
1120487	1	4	221
1120488	1	-1	366
1120489	1	-1	1543
1120490	1	3864	-1
1120491	1	14367	23602
1120492	1	1423	-1
1120493	1	-1	10609
1120494	1	986	-1
1120495	1	5329	7398
1120496	1	3971	8063
1120497	1	841	-1
1120498	1	1021	3679
1120499	1	30	662
1120500	1	15433	19362
1120501	1	1365	-1
1120502	1	1663	1527
1120503	1	7955	4567
1120504	1	1837	-1
1120505	1	2279	5308
1120506	1	1580	979
1120507	1	732	-1
1120508	1	14658	-1
1120509	1	910	1622
1120510	1	1597	2095
1120511	1	1831	1172
1120512	1	1030	1058
1120513	1	6112	8715
1120514	1	1646	2528
1120515	1	1299	2239
1120516	1	55	400
1120517	1	2591	2563
1120518	1	475	827
1120519	1	1842	4122
1120520	1	2066	5564
1120521	1	9705	7114
1120522	1	2115	-1
1120523	1	4409	5899
1120524	1	-1	606
1120525	1	3261	4643
1120526	1	872	-1
1120527	1	4440	4191
1120528	1	-1	-1
1120529	1	10877	9795
1120530	1	-1	21604
1120531	1	607	1211
1120532	1	1309	2200
1120533	1	609	-1
1120534	1	131	-1
1120535	1	317	-1
1120536	1	5904	1477
1120537	1	2116	-1
1120538	1	2256	-1
1120539	1	433	-1
1120540	1	-1	-1
1120541	1	3119	-1
1120542	1	1986	5885
1120543	1	-1	-1
1120544	1	10952	10609
1120545	1	3113	2009
1120546	1	5838	11670
1120547	1	1802	2317
1120548	1	8685	3440
1120549	1	1944	2782
1120550	1	401	577
1120551	1	6680	10629
1120552	1	5115	2840
1120553	1	1351	1216
1120554	1	520	-1
1120555	1	2668	3554
1120556	1	28	270
1120557	1	15	-1
1120558	1	1371	3657
1120559	1	11760	13895
1120560	1	452	-1
1120561	1	1115	3455
1120562	1	8509	7690
1120563	1	-1	212
1120564	1	5289	8387
1120565	1	32399	34557
1120566	1	2960	-1
1120567	1	13951	21633
1120568	1	1087	1044
1120569	1	1044	472
1120570	1	7014	10147
1120571	1	2420	2855
1120572	1	2110	2418
1120573	1	14016	36593
1120574	1	3072	5934
1120575	1	2382	-1
1120576	1	2370	4003
1120577	1	3966	3017
1120578	1	80739	81188
1120579	1	1494	3061
1120580	1	288	-1
1120581	1	2350	3528
1120582	1	541	1037
1120583	1	48452	43188
1120584	1	811	560
1120585	1	1842	2009
1120586	1	-1	208
1120587	1	5913	11727
1120588	1	760	-1
1120589	1	355	-1
1120590	1	2711	3378
1120591	1	1057	1012
1120592	1	42	249
1120593	1	4542	3522
1120594	1	1051	1728
1120595	1	748	800
1120596	1	2792	2511
1120597	1	2413	2540
1120598	1	2491	-1
1120599	1	67069	71949
1120600	1	5974	6004
1120601	1	-1	2038
1120602	1	4443	3658
1120603	1	-1	1040
1120604	1	27524	24034
1120605	1	16526	26328
1120606	1	1587	2481
1120607	1	818	-1
1120608	1	284	-1
1120609	1	-1	11378
1120610	1	2854	5566
1120611	1	233	-1
1120612	1	291	218
1120613	1	315	-1
1120614	1	906	495
1120615	1	1706	-1
1120616	1	410	417
1120617	1	1135	952
1120618	1	1719	4062
1120619	1	16515	33771
1120620	1	4874	2954
1120621	1	2744	2512
1120622	1	1131	1649
1120623	1	2241	2109
1120624	1	2556	2936
1120625	1	5860	5255
1120626	1	-1	3020
1120627	1	452	-1
1120628	1	1029	769
1120629	1	128	-1
1120630	1	1034	160
1120631	1	231	-1
1120632	1	5316	9025
1120633	1	16349	15669
1120634	1	2610	1624
1120635	1	1254	1502
1120636	1	3551	8045
1120637	1	12087	12536
1120638	1	-1	42
1120639	1	363	737
1120640	1	1920	2798
1120641	1	4077	24565
1120642	1	4957	2590
1120643	1	4555	4386
1120644	1	285	1019
1120645	1	103	1581
1120646	1	1703	-1
1120647	1	5304	8293
1120648	1	5132	7101
1120649	1	2476	2461
1120650	1	1067	535
1120651	1	115	296
1120652	1	1105	2035
1120653	1	8172	-1
1120654	1	309	421
1120655	1	2443	-1
1120656	1	29674	15518
1120657	1	61	-1
1120658	1	236	70
1120659	1	1045	1850
1120660	1	9584	8714
1120661	1	4000	4885
1120662	1	-1	8814
1120663	1	85	94
1120664	1	2176	4719
1120665	1	1668	1690
1120666	1	-1	1914
1120667	1	14922	-1
1120668	1	3110	4290
1120669	1	3338	5783
1120670	1	775	-1
1120671	1	77	-1
1120672	1	-1	-1
1120673	1	6339	12368
1120674	1	-1	2694
1120675	1	13333	26984
1120676	1	213	575
1120677	1	3387	4723
1120678	1	-1	6297
1120679	1	1107	-1
1120680	1	4112	5685
1120681	1	935	1035
1120682	1	1364	1524
1120683	1	377	1470
1120684	1	702	-1
1120685	1	6278	4881
1120686	1	645	5316
1120687	1	919	-1
1120688	1	-1	1009
1120689	1	2918	3797
1120690	2	183301	323532
1120691	2	342201	456928
1120692	2	115825	157586
1120693	2	45014	51014
1120694	2	20956	47382
1120695	2	9278579	10104552
1120696	2	78921	102694
1120697	2	1528947	1141978
1120698	2	19391828	28190879
1120699	2	99386	110052
1120700	2	37625	41406
1120701	2	187556	262241
1120702	2	17078	2774
1120703	2	135246	74756
1120704	2	246114	302410
1120705	2	118893	313376
1120706	2	33949	42656
1120707	2	165388	201756
1120708	2	555501	720570
1120709	2	225172	268378
1120710	2	115930	137929
1120711	2	2811860	18254
1120712	2	218291	628959
1120713	2	2613614	3899744
1120714	2	321605	438914
1120715	2	192376	278623
1120716	2	369486	462853
1120717	2	11058	13551
1120718	2	80513	96106
1120719	2	183955	223021
1120720	2	517670	596582
1120721	2	616102	15074
1120722	2	137501	190214
1120723	2	75645	77789
1120724	2	1963651	3154925
1120725	2	129006	128707
1120726	2	205440	180629
1120727	2	4949119	9182190
1120728	2	100253	95923
1120729	2	93597	123197
1120730	2	1086574	1285657
1120731	2	33685713	43138231
1120732	2	50994	47522
1120733	2	233314	318269
1120734	2	235066	333612
1120735	2	214221	348086
1120736	2	504614	847602
1120737	2	455684	389403
1120738	2	71467	68191
1120739	2	1894699	3247967
1120740	2	227875	115568
1120741	2	141347	15194
1120742	2	176443	107843
1120743	2	766714	765123
1120744	2	582247	670297
1120745	2	1659818	2016393
1120746	2	4191256	4269210
1120747	2	160989	219068
1120748	2	104209	127481
1120749	2	106344	153385
1120750	2	350682	326820
1120751	2	1001464	1113236
1120752	2	234690	879679
1120753	2	1008987	1392912
1120754	2	140661	187323
1120755	2	1270219	667453
1120756	2	156205	367819
1120757	2	1351944	1450229
1120758	2	3710963	4173777
1120759	2	252533	177618
1120760	2	172771	181462
1120761	2	122879	113046
1120762	2	28556	31530
1120763	2	82321	124598
1120764	2	801060	907293
1120765	2	15906174	19323633
1120766	2	4261095	5417336
1120767	2	168186	169584
1120768	2	487003	409491
1120769	2	643208	698866
1120770	2	9393703	11805281
1120771	2	279460	517735
1120772	2	70535	63260
1120773	2	6279480	6669496
1120774	2	161442	101218
1120775	2	10633020	15886201
1120776	2	83122	108886
1120777	2	470977	278584
1120778	2	4565156	5909399
1120779	2	574400	1186622
1120780	2	665863	629138
1120781	2	307070	753373
1120782	2	584230	827211
1120783	2	86609	200445
1120784	2	286818	53849
1120785	2	135894	158362
1120786	2	71928	150483
1120787	2	353113	465542
1120788	2	121637	100911
1120789	2	2252193	54420
1120790	2	13694515	19809874
1120791	2	75744	93252
1120792	2	7097386	7031863
1120793	2	12541	36140
1120794	2	26953944	39171703
1120795	2	199552	276795
1120796	2	163209	293571
1120797	2	257062	237739
1120798	2	1203079	1930096
1120799	2	261546	286063
1120800	2	220725	215792
1120801	2	372530	463204
1120802	2	248954	423277
1120803	2	235813	180197
1120804	2	135063	29456
1120805	2	46999	74623
1120806	2	45075	90659
1120807	2	2575311	4857562
1120808	2	4423311	6935251
1120809	2	592178	814690
1120810	2	396074	641234
1120811	2	595427	467569
1120812	2	547114	680397
1120813	2	88231	66727
1120814	2	60818	68800
1120815	2	514007	946949
1120816	2	1078452	846562
1120817	2	952464	1386699
1120818	2	148732	323121
1120819	2	834371	944370
1120820	2	669989	1036692
1120821	2	193645	315246
1120822	2	1367948	1541804
1120823	2	922152	1410925
1120824	2	354496	442194
1120825	2	2310257	2633993
1120826	2	736474	953611
1120827	2	398764	433926
1120828	2	12219	16891
1120829	2	20460	41938
1120830	2	40307	69643
1120831	2	2801661	5292118
1120832	2	80926	138565
1120833	2	306166	285175
1120834	2	349783	316463
1120835	2	320326	417636
1120836	2	92371	118400
1120837	2	70302	142462
1120838	2	175733	340658
1120839	2	513094	402481
1120840	2	157901	135066
1120841	2	69746	82738
1120842	2	13094943	13358610
1120843	2	1363914	1513049
1120844	2	182779	195318
1120845	2	3838732	4421058
1120846	2	190945	144645
1120847	2	71871	87227
1120848	2	380143	632849
1120849	2	650179	704112
1120850	2	2642742	2806143
1120851	2	1495947	491319
1120852	2	1409680	2005795
1120853	2	122827	66547
1120854	2	7966443	15259909
1120855	2	102302	138611
1120856	2	455146	431007
1120857	2	1082134	1682729
1120858	2	80960	147759
1120859	2	12101184	12551255
1120860	2	1968989	1733641
1120861	2	217560	202213
1120862	2	160385	168757
1120863	2	192157	359906
1120864	2	805243	925497
1120865	2	198202	259283
1120866	2	69235	88522
1120867	2	18415739	27742277
1120868	2	2413306	1687757
1120869	2	365388	417343
1120870	2	1440890	2062473
1120871	2	440422	763471
1120872	2	161454	247174
1120873	2	1446199	1402034
1120874	2	313768	571238
1120875	2	98682	87701
1120876	2	21142196	25019604
1120877	2	392293	531898
1120878	2	1038396	1333619
1120879	2	83912	108560
1120880	2	421808	931749
1120881	2	627174	953871
1120882	2	353539	530070
1120883	2	83912	7205
1120884	2	29964	24611
1120885	2	230772	422532
1120886	2	484361	534317
1120887	2	203289	308006
1120888	2	1008917	1202937
1120889	2	66716	193636
1120890	2	1769009	2293407
1120891	2	268395	257482
1120892	2	114614	138485
1120893	2	38493	31279
1120894	2	74322	85525
1120895	2	284113	192895
1120896	2	143484	164439
1120897	2	3550584	4539033
1120898	2	359707	511055
1120899	2	461175	530235
1120900	2	341627	390718
1120901	2	55813	105328
1120902	2	190019	222342
1120903	2	150681	101262
1120904	2	442315	692472
1120905	2	79268	118117
1120906	2	33438	59442
1120907	2	158627	220092
1120908	2	1845571	1970686
1120909	2	369342	349707
1120910	2	134439	67932
1120911	2	14912	19397
1120912	2	1276454	1546107
1120913	2	233893	186596
1120914	2	317617	332996
1120915	2	379243	462689
1120916	2	107930	116903
1120917	2	242479	280723
1120918	2	35827543	1526206
1120919	2	123445	209195
1120920	2	1615970	1685994
1120921	2	55936	44286
1120922	2	177242	202084
1120923	2	77578	90614
1120924	2	978320	1510056
1120925	2	213485	183720
1120926	2	230427	121363
1120927	2	58616	44768
1120928	2	290124	458054
1120929	2	1607664	1295460
1120930	2	2663206	4426917
1120931	2	1066816	2773120
1120932	2	127653	176879
1120933	2	354163	441224
1120934	2	200095	260572
1120935	2	681971	877037
1120936	2	1083603	1165194
1120937	2	376006	630817
1120938	2	622679	1032644
1120939	2	211155	628188
1120940	2	247512	324615
1120941	2	681861	984947
1120942	2	1221723	1564310
1120943	2	597792	760663
1120944	2	298496	294745
1120945	2	1207891	1687461
1120946	2	110446	70211
1120947	2	861519	1002444
1120948	2	41422	53749
1120949	2	31859327	42774077
1120950	2	108424	100256
1120951	2	236041	245015
1120952	2	4675860	5426938
1120953	2	547664	706643
1120954	2	389312	288516
1120955	2	161947	186183
1120956	2	293442	332789
1120957	2	418068	597492
1120958	2	347065	396286
1120959	2	128939	192299
1120960	2	180639	135383
1120961	2	7521457	10188162
1120962	2	80907	128036
1120963	2	328448	405190
1120964	2	1111543	1243820
1120965	2	111532	98241
1120966	2	89880	45481
1120967	2	308708	282096
1120968	2	1512520	2823879
1120969	2	277161	592103
1120970	2	124159	159914
1120971	2	979547	1149643
1120972	2	781842	368790
1120973	2	207944	224915
1120974	2	61197	32219
1120975	2	3227619	2316017
1120976	2	34559	21624
1120977	2	146689	100010
1120978	2	1312563	1619101
1120979	2	11147952	18758511
1120980	2	302138	252556
1120981	2	140824	177400
1120982	2	91491	241319
1120983	2	966207	1177016
1120984	2	2260088	2578239
1120985	2	628592	720634
1120986	2	322607	320755
1120987	2	3118227	5634181
1120988	2	17105	41880
1120989	2	20119342	23471309
1120990	2	88943	120233
1120991	2	32679	65494
1120992	2	125574	209955
1120993	2	101579	142760
1120994	2	126084	123051
1120995	2	309822	354479
1120996	2	418106	503098
1120997	2	472458	531732
1120998	2	2163380	3101561
1120999	2	107816	142896
1121000	2	2680096	3016124
1121001	2	257079	451065
1121002	2	7376924	8524883
1121003	2	74916	142152
1121004	2	83465	103014
1121005	2	131293	276548
1121006	2	50265	70019
1121007	2	129387	126181
1121008	2	10830	30415
1121009	2	164633	279436
1121010	2	151709	296247
1121011	2	44432	48195
1121012	2	194528	178015
1121013	2	311961	366901
1121014	2	1411922	1709867
1121015	2	347440	400481
1121016	2	124562	131825
1121017	2	710967	507436
1121018	2	1316786	1521967
1121019	2	308500	376634
1121020	2	153543	259596
1121021	2	803174	1083493
1121022	2	57931	143951
1121023	2	278328	305639
1121024	2	149831	120728
1121025	2	288797	396866
1121026	2	59455	90036
1121027	2	75190	133725
1121028	2	496671	612339
1121029	2	238326	263065
1121030	2	74328	95120
1121031	2	217851	355918
1121032	2	3471400	8138208
1121033	2	2302935	2949480
1121034	2	94630	128947
1121035	2	604613	672
1121036	2	236422	404442
1121037	2	172719	867284
1121038	2	160295	239732
1121039	2	2101779	3406976
1121040	2	254860	337064
1121041	2	44515	87684
1121042	2	1248194	1988982
1121043	2	1525071	1998971
1121044	2	155689	219214
1121045	2	281341	595403
1121046	2	3033722	3970365
1121047	2	275082	301987
1121048	2	453432	739476
1121049	2	153136	227055
1121050	2	53067	47612
1121051	2	630347	667652
1121052	2	121111	356931
1121053	2	307649	394998
1121054	2	163127	214466
1121055	2	395659	655724
1121056	2	159741	144952
1121057	2	3192031	4064237
1121058	2	405235	647898
1121059	2	845892	777851
1121060	2	237751	289006
1121061	2	17039	13601
1121062	2	266805	278260
1121063	2	1893956	2285845
1121064	2	2229818	4310661
1121065	2	617715	637749
1121066	2	100105	124258
1121067	2	2776403	2490830
1121068	2	79774	115180
1121069	2	86782	117192
1121070	2	181668	239501
1121071	2	98890	511011
1121072	2	7039730	9283304
1121073	2	17423951	31913863
1121074	2	452520	500177
1121075	2	369229	983151
1121076	2	10875929	15696693
1121077	2	103376	112105
1121078	2	179754	296419
1121079	2	2281152	1417257
1121080	2	236479	409499
1121081	2	261436	237196
1121082	2	58088	80395
1121083	2	1237110	1435148
1121084	2	103548	97206
1121085	2	327257	372487
1121086	2	204052	134130
1121087	2	98913	113786
1121088	2	145115	234561
1121089	2	12442518	12257625
1121090	2	1418559	1692492
1121091	2	300420	338460
1121092	2	184162	226284
1121093	2	208763	455665
1121094	2	1772597	2005949
1121095	2	276585	313293
1121096	2	102689	94908
1121097	2	610622	716629
1121098	2	357390	436724
1121099	2	796561	1099094
1121100	2	442323	663334
1121101	2	6274852	7187410
1121102	2	95881	130157
1121103	2	30513436	28097139
1121104	2	142502	269816
1121105	2	1300397	1946033
1121106	2	877592	1017338
1121107	2	800109	879189
1121108	2	223767	303206
1121109	2	135162	143449
1121110	2	467661	611097
1121111	2	69471	98789
1121112	2	244556	418717
1121113	2	71623	114558
1121114	2	1246731	1711721
1121115	2	5969758	8463484
1121116	2	995767	514259
1121117	2	250142	409828
1121118	2	267844	308005
1121119	2	299737	376867
1121120	2	115507	257472
1121121	2	504614	847602
1121122	2	30274	23477
1121123	2	4516	-1
1121124	2	33752	86637
1121125	2	40597	43352
1121126	2	647	615
1121127	0	-1	-1
1121128	0	403287	427612
1121129	0	4313	4138
1121130	0	212732	-1
1121131	0	147702	-1
1121132	0	3053348	4249970
1121133	0	2005383	6325912
1121134	0	43087	-1
1121135	0	235668	247529
1121136	0	636821	732626
1121137	0	2859003	2709964
1121138	0	-1	35388
1121139	0	898868	949299
1121140	0	-1	-1
1121141	0	1445422	1461174
1121142	0	99168	119816
1121143	0	67786	72944
1121144	0	156	-1
1121145	0	352984	-1
1121146	0	-1	-1
1121147	0	32751	47365
1121148	0	486162	575734
1121149	0	-1	149359
1121150	0	232408	-1
1121151	0	493554	543982
1121152	0	21979	20127
1121153	0	49750	81685
1121154	0	111781	-1
1121155	0	156	-1
